id,salary_in_usd
0,70377
1,85839
2,63613
3,88561
4,37621
5,75218
6,93868
7,92944
8,60381
9,94613
10,13707
11,26656
12,79600
13,69376
14,10519
15,75031
16,61396
17,71300
18,59502
19,64445
20,5606
21,9636
22,76722
23,38039
24,26845
25,48750
26,89731
27,78267
28,40736
29,96170
30,59261
31,83683
32,73649
33,7544
34,9142
35,20424
36,97983
37,11748
38,58118
39,58196
40,23742
41,34676
42,9808
43,56568
44,12058
45,19866
46,40100
47,75891
48,83197
49,88865
50,15452
51,40961
52,22342
53,12945
54,76589
55,43125
56,44284
57,24892
58,32088
59,92471
60,79170
61,15913
62,40474
63,52504
64,35944
65,41856
66,5130
67,92675
68,71981
69,5247
70,14041
71,20557
72,22600
73,91159
74,28635
75,44317
76,99062
77,66218
78,52549
79,38720
80,17419
81,74770
82,59052
83,21848
84,58772
85,6909
86,96370
87,97899
88,58731
89,8811
90,93697
91,77131
92,91447
93,40210
94,39437
95,25726
96,13580
97,75272
98,78735
99,50067
100,81785
101,97731
102,70639
103,33678
104,19021
105,21175
106,34801
