id,salary_in_usd
0,132535.7142857143
1,68147.0
2,87932.0
3,55622.5
4,21983.0
5,162674.0
6,24342.0
7,55622.5
8,20000.0
9,53192.0
10,98158.0
11,53192.0
12,10000.0
13,70912.0
14,111245.5
15,98158.0
16,103691.0
17,12000.0
18,63810.0
19,63810.0
20,35735.0
21,28016.0
22,40038.0
23,50000.0
24,12000.0
25,100000.0
26,12000.0
27,53192.0
28,40038.0
29,153667.0
30,153667.0
31,9272.0
32,130026.0
33,153000.0
34,9272.0
35,70537.5
36,102839.0
37,2859.0
38,70537.5
39,53192.0
40,54238.0
41,18053.0
42,8000.0
43,53192.0
44,12000.0
45,141846.0
46,8000.0
47,70537.5
48,9272.0
49,12000.0
50,9272.0
51,70537.5
52,8000.0
53,8000.0
54,8000.0
55,2859.0
56,50000.0
57,79833.0
58,50000.0
59,50000.0
60,50000.0
61,79833.0
62,50000.0
63,50000.0
64,50000.0
65,102839.0
66,102839.0
67,50000.0
68,50000.0
69,2859.0
70,8000.0
71,53192.0
72,12000.0
73,41689.0
74,141550.0
75,8000.0
76,41689.0
77,40038.0
78,18000.0
79,62649.0
80,19609.0
81,18053.0
82,56000.0
83,53192.0
84,8000.0
85,2859.0
86,2859.0
87,50000.0
88,50000.0
89,41689.0
90,38400.0
91,40038.0
92,40570.0
93,151000.0
94,50000.0
95,12000.0
96,115000.0
97,40038.0
98,8000.0
99,103160.0
100,50000.0
101,50000.0
102,50000.0
103,102839.0
104,50000.0
105,9272.0
106,50000.0
