iter	RMSE
0	68876.51023
1	68143.69118
2	67281.96494
3	66493.22046
4	65701.22815
5	64811.48695
6	64124.92674
7	63550.0414
8	62849.1608
9	62233.90031
10	61645.34187
11	61271.71038
12	60754.28395
13	60354.36884
14	59965.38024
15	59448.13629
16	58871.80363
17	58398.82929
18	57880.72689
19	57498.95471
20	57198.30261
21	56882.70965
22	56442.10001
23	56125.33262
24	55758.42216
25	55397.75565
26	55042.44775
27	54631.97678
28	54354.67311
29	54050.31711
30	53807.56706
31	53517.91013
32	53301.94027
33	53069.2212
34	52743.99049
35	52504.66124
36	52239.51592
37	52000.53111
38	51768.92612
39	51563.99246
40	51406.40205
41	51209.97275
42	51010.04354
43	50834.94625
44	50667.54422
45	50538.68903
46	50366.81349
47	50276.52187
48	50158.27283
49	49942.79759
50	49741.47052
51	49630.85779
52	49489.87627
53	49394.32914
54	49286.05751
55	49090.53398
56	48903.33128
57	48702.61128
58	48583.64872
59	48393.25967
60	48242.98536
61	48120.6914
62	48012.28815
63	47875.3321
64	47786.47591
65	47683.34809
66	47554.76387
67	47476.99056
68	47405.8831
69	47240.34671
70	47093.16379
71	46990.69194
72	46843.1324
73	46713.73419
74	46597.13863
75	46498.81903
76	46406.81515
77	46352.15081
78	46301.13734
79	46182.04957
80	46076.8131
81	45990.85499
82	45933.24385
83	45807.77818
84	45713.46568
85	45624.45813
86	45554.9184
87	45440.3978
88	45387.87567
89	45341.35852
90	45248.3318
91	45154.69929
92	45126.02445
93	45051.51236
94	44922.41157
95	44857.16236
96	44785.40809
97	44627.87503
98	44540.85696
99	44382.39403
100	44304.84752
101	44245.48964
102	44218.58328
103	44167.60668
104	44151.87251
105	44092.19481
106	44051.99311
107	43998.50107
108	43968.5596
109	43931.19702
110	43871.40313
111	43798.7032
112	43726.20953
113	43682.65496
114	43625.90875
115	43614.25322
116	43554.92578
117	43470.82168
118	43415.86372
119	43382.334
120	43352.35784
121	43282.8162
122	43247.38552
123	43192.80757
124	43163.52079
125	43131.82621
126	43099.17043
127	43025.78716
128	42992.2057
129	42944.43444
130	42828.58806
131	42719.16342
132	42636.10072
133	42556.39261
134	42516.29672
135	42476.804
136	42372.39222
137	42356.62735
138	42287.69709
139	42229.72477
140	42213.94556
141	42192.51874
142	42160.71393
143	42135.29206
144	42024.72713
145	41992.19268
146	41964.49101
147	41884.13523
148	41867.4357
149	41795.5364
150	41712.83093
151	41626.74573
152	41608.45561
153	41552.54335
154	41538.81916
155	41488.4105
156	41466.88692
157	41439.72781
158	41361.30411
159	41317.55366
160	41206.67789
161	41111.2743
162	41015.96049
163	40966.79512
164	40936.00392
165	40852.67839
166	40833.48283
167	40792.58977
168	40733.43473
169	40713.32691
170	40594.41348
171	40535.26929
172	40518.37805
173	40476.91792
174	40427.52711
175	40358.80043
176	40302.04163
177	40282.27269
178	40261.30493
179	40184.2147
180	40165.6423
181	40141.91935
182	40080.76821
183	40051.12638
184	40035.32027
185	39956.0962
186	39876.71673
187	39812.47645
188	39784.15737
189	39748.61915
190	39694.09324
191	39622.90863
192	39603.72685
193	39517.87842
194	39495.22764
195	39459.83832
196	39408.25372
197	39365.67372
198	39295.88257
199	39243.40583
200	39188.17585
201	39170.43658
202	39076.87369
203	39063.21353
204	39000.44198
205	38934.56889
206	38916.56488
207	38853.57253
208	38819.02697
209	38803.0885
210	38784.46036
211	38695.63843
212	38635.82659
213	38613.35537
214	38554.19549
215	38512.60284
216	38453.19497
217	38418.54067
218	38328.8802
219	38313.50957
220	38249.38059
221	38214.00051
222	38191.2481
223	38091.0648
224	38044.23219
225	37999.59577
226	37942.48651
227	37905.41604
228	37881.98529
229	37850.66337
230	37830.95666
231	37791.23422
232	37772.72456
233	37745.80312
234	37676.46567
235	37634.80053
236	37620.14589
237	37524.19327
238	37436.12983
239	37418.44641
240	37377.62452
241	37325.50266
242	37271.19805
243	37205.40075
244	37177.63757
245	37137.81155
246	37078.34424
247	37062.19668
248	37049.28457
249	37015.08633
250	36966.61746
251	36951.43608
252	36901.27103
253	36881.5477
254	36863.65041
255	36841.4778
256	36795.04589
257	36780.72119
258	36733.3589
259	36701.54743
260	36645.86825
261	36637.36919
262	36610.35329
263	36577.52255
264	36563.85724
265	36522.70413
266	36509.35577
267	36444.10265
268	36369.81099
269	36347.4303
270	36306.6335
271	36296.03924
272	36225.33343
273	36205.29184
274	36133.25301
275	36121.85732
276	36073.46045
277	36003.44786
278	35987.19581
279	35966.79564
280	35901.19086
281	35872.44722
282	35858.12785
283	35822.23769
284	35812.58072
285	35755.62987
286	35719.27562
287	35676.1411
288	35665.936
289	35595.77531
290	35540.78555
291	35517.44972
292	35465.19672
293	35432.2519
294	35408.89449
295	35372.04607
296	35337.73241
297	35320.03752
298	35295.56869
299	35248.45495
300	35239.30018
301	35211.09613
302	35180.00623
303	35145.93292
304	35113.18432
305	35050.53064
306	35020.62027
307	35007.5086
308	34982.02034
309	34954.88848
310	34915.23178
311	34889.99333
312	34848.57399
313	34813.85151
314	34789.31179
315	34751.09915
316	34722.67911
317	34706.35927
318	34689.55217
319	34661.8736
320	34641.95216
321	34600.37377
322	34576.54056
323	34565.02818
324	34523.90514
325	34483.42584
326	34445.26087
327	34398.86285
328	34373.53392
329	34348.95982
330	34312.00088
331	34289.57721
332	34258.55344
333	34239.61865
334	34228.02498
335	34204.84652
336	34185.16916
337	34145.04771
338	34119.60376
339	34110.23847
340	34057.30017
341	34035.67163
342	34028.42068
343	34006.58365
344	33984.8179
345	33948.0752
346	33925.82285
347	33892.70423
348	33863.36702
349	33828.89961
350	33815.61165
351	33798.41527
352	33766.24069
353	33758.08433
354	33725.1704
355	33678.39509
356	33674.87993
357	33641.82833
358	33623.65662
359	33593.03251
360	33567.60883
361	33525.00677
362	33505.78225
363	33500.302
364	33482.6484
365	33461.46646
366	33423.89
367	33373.64391
368	33353.73772
369	33337.15392
370	33301.09934
371	33285.09046
372	33271.51445
373	33249.30878
374	33226.07118
375	33204.80005
376	33183.01314
377	33153.24055
378	33138.38567
379	33109.90015
380	33098.58555
381	33056.16606
382	33041.98234
383	33021.00763
384	33007.75393
385	32982.49143
386	32969.2888
387	32923.28416
388	32903.77616
389	32870.90519
390	32855.05557
391	32838.2688
392	32820.42707
393	32793.75229
394	32763.78597
395	32743.24824
396	32731.96163
397	32709.5392
398	32687.00468
399	32660.57073
400	32634.3184
401	32615.41039
402	32585.30318
403	32559.78351
404	32542.86643
405	32525.53023
406	32485.36393
407	32428.091
408	32420.84313
409	32406.87034
410	32393.94175
411	32386.20644
412	32373.96103
413	32361.49468
414	32337.38455
415	32328.1488
416	32299.05569
417	32286.80277
418	32276.30847
419	32248.19082
420	32233.72844
421	32222.9852
422	32197.1729
423	32191.68287
424	32180.72097
425	32166.52346
426	32146.75705
427	32120.201
428	32107.97663
429	32090.6303
430	32074.05815
431	32067.68596
432	32051.66809
433	32039.89591
434	32025.87874
435	31987.40423
436	31980.4203
437	31963.97363
438	31929.54404
439	31907.56788
440	31896.12761
441	31885.77221
442	31873.26146
443	31860.06126
444	31822.90201
445	31811.42888
446	31798.71648
447	31788.33408
448	31782.97492
449	31773.06736
450	31763.50085
451	31747.00573
452	31724.34448
453	31713.56384
454	31674.64181
455	31665.6688
456	31644.98109
457	31617.58431
458	31590.37869
459	31576.82342
460	31561.33032
461	31529.49286
462	31518.12522
463	31506.38658
464	31497.93334
465	31492.29538
466	31461.94988
467	31448.95727
468	31436.85062
469	31429.40041
470	31411.84227
471	31397.41423
472	31388.67121
473	31379.28627
474	31366.35087
475	31355.56932
476	31344.46303
477	31342.45303
478	31317.27545
479	31312.87476
480	31307.28155
481	31282.90237
482	31264.54664
483	31243.33026
484	31231.26057
485	31224.63576
486	31213.29449
487	31205.31028
488	31196.59934
489	31182.09638
490	31163.94331
491	31113.52682
492	31109.5216
493	31070.56059
494	31058.16767
495	31050.12542
496	31043.05832
497	31010.29069
498	31003.42829
499	30994.81638
500	30987.15832
501	30971.61403
502	30963.73574
503	30957.39575
504	30940.62791
505	30899.15968
506	30889.78968
507	30882.88819
508	30875.97673
509	30868.88111
510	30859.33373
511	30839.48671
512	30831.39421
513	30812.01256
514	30793.17731
515	30772.15002
516	30759.63125
517	30745.60023
518	30735.65615
519	30709.21759
520	30699.87706
521	30685.70089
522	30678.57185
523	30669.65199
524	30659.13452
525	30625.79645
526	30614.24107
527	30593.35797
528	30586.55429
529	30577.12621
530	30527.88918
531	30522.50868
532	30520.83611
533	30501.11257
534	30479.21736
535	30468.74343
536	30447.69464
537	30434.64105
538	30418.30515
539	30382.98906
540	30378.99599
541	30358.37886
542	30348.9917
543	30334.38121
544	30317.27604
545	30315.10832
546	30301.38976
547	30288.87986
548	30283.29166
549	30264.95219
550	30259.09067
551	30230.68264
552	30219.56277
553	30208.35472
554	30191.62709
555	30186.98743
556	30181.25525
557	30174.48606
558	30159.41431
559	30153.56287
560	30141.17912
561	30139.66157
562	30132.6559
563	30123.74944
564	30119.01834
565	30106.22456
566	30093.43028
567	30069.8458
568	30061.12431
569	30034.20089
570	30030.38666
571	30010.1513
572	29997.96358
573	29987.91358
574	29958.82732
575	29951.15195
576	29923.66484
577	29915.81674
578	29909.73237
579	29903.00418
580	29893.95879
581	29885.9109
582	29871.76919
583	29868.90489
584	29850.54517
585	29847.24402
586	29822.23534
587	29809.38403
588	29791.78671
589	29785.47746
590	29781.42955
591	29770.5968
592	29763.48996
593	29757.59121
594	29751.82941
595	29747.54558
596	29741.77777
597	29712.11349
598	29697.31552
599	29684.68833
600	29674.95582
601	29670.80979
602	29665.15911
603	29661.82892
604	29654.82848
605	29646.06241
606	29644.86244
607	29641.19711
608	29627.42804
609	29613.76854
610	29612.62443
611	29599.48099
612	29592.88816
613	29582.24177
614	29573.73661
615	29557.16901
616	29548.91833
617	29533.08479
618	29497.35475
619	29493.13042
620	29488.29742
621	29483.37767
622	29481.64952
623	29467.45024
624	29462.29232
625	29457.14593
626	29444.79372
627	29413.59479
628	29398.70527
629	29386.82207
630	29368.41898
631	29358.69994
632	29351.69274
633	29337.05089
634	29328.20476
635	29318.07034
636	29305.65286
637	29299.40685
638	29288.67165
639	29283.18812
640	29271.95663
641	29267.86983
642	29257.3654
643	29252.87829
644	29249.21558
645	29244.87848
646	29232.86956
647	29219.17352
648	29215.84863
649	29206.64818
650	29196.65723
651	29193.35964
652	29176.10531
653	29165.12064
654	29136.06783
655	29124.90087
656	29114.87991
657	29110.60523
658	29098.77232
659	29087.4532
660	29077.12102
661	29068.9089
662	29066.05152
663	29056.88795
664	29040.17962
665	29031.77328
666	29011.77398
667	28986.57116
668	28977.04049
669	28959.73146
670	28918.74604
671	28912.95906
672	28904.83567
673	28891.70052
674	28855.38353
675	28844.75318
676	28828.6816
677	28824.10881
678	28811.01321
679	28799.24652
680	28789.42802
681	28780.8125
682	28772.70664
683	28750.43242
684	28738.26753
685	28732.51185
686	28725.92625
687	28720.11552
688	28714.81954
689	28709.83001
690	28701.89883
691	28687.43037
692	28678.27753
693	28676.30895
694	28661.90891
695	28659.27067
696	28641.62551
697	28632.01813
698	28620.20561
699	28598.56016
700	28591.6381
701	28588.23727
702	28583.90725
703	28580.21606
704	28570.07007
705	28564.27041
706	28558.87311
707	28554.6755
708	28549.96579
709	28540.30307
710	28535.85665
711	28532.48811
712	28529.66544
713	28519.28709
714	28508.93652
715	28505.2314
716	28502.84697
717	28489.09837
718	28484.57201
719	28478.0272
720	28470.156
721	28460.72906
722	28452.14786
723	28448.7429
724	28444.78806
725	28441.34962
726	28436.32352
727	28418.46779
728	28410.26044
729	28387.23819
730	28372.0475
731	28368.26455
732	28357.42659
733	28352.31171
734	28345.52025
735	28328.84016
736	28312.2727
737	28304.3202
738	28300.84076
739	28287.36578
