iter	Passed	Remaining
0	139	139396
1	140	70186
2	141	47008
3	142	35365
4	142	28394
5	143	23715
6	143	20367
7	143	17852
8	144	15896
9	144	14333
10	145	13052
11	145	11983
12	145	11079
13	146	10305
14	146	9631
15	147	9043
16	147	8525
17	147	8064
18	148	7651
19	148	7279
20	148	6943
21	149	6636
22	149	6357
23	150	6100
24	150	5865
25	150	5647
26	151	5445
27	151	5258
28	151	5084
29	152	4922
30	152	4770
31	152	4627
32	153	4493
33	153	4367
34	154	4247
35	154	4135
36	154	4029
37	155	3927
38	155	3832
39	155	3741
40	156	3654
41	156	3572
42	156	3493
43	157	3418
44	157	3347
45	158	3278
46	158	3212
47	158	3147
48	159	3086
49	159	3029
50	159	2973
51	160	2920
52	160	2868
53	160	2819
54	161	2771
55	161	2724
56	162	2680
57	162	2637
58	162	2596
59	163	2556
60	163	2517
61	163	2479
62	164	2443
63	164	2407
64	165	2373
65	165	2340
66	165	2307
67	166	2276
68	166	2246
69	166	2216
70	167	2187
71	167	2160
72	167	2132
73	168	2106
74	168	2080
75	169	2055
76	169	2031
77	169	2007
78	170	1982
79	170	1960
80	170	1938
81	171	1916
82	171	1895
83	172	1875
84	172	1855
85	172	1836
86	173	1817
87	173	1798
88	173	1780
89	174	1762
90	174	1745
91	175	1728
92	175	1710
93	175	1693
94	176	1677
95	176	1662
96	176	1646
97	177	1632
98	177	1617
99	178	1603
100	178	1589
101	178	1575
102	179	1561
103	179	1548
104	179	1534
105	180	1521
106	180	1508
107	181	1496
108	181	1484
109	181	1471
110	182	1459
111	182	1447
112	182	1436
113	183	1425
114	183	1413
115	183	1401
116	184	1391
117	184	1380
118	185	1370
119	185	1360
120	185	1350
121	186	1340
122	186	1330
123	187	1321
124	187	1312
125	187	1302
126	188	1293
127	188	1284
128	189	1276
129	189	1267
130	189	1258
131	190	1250
132	190	1242
133	190	1234
134	191	1225
135	191	1217
136	192	1209
137	192	1202
138	192	1194
139	193	1187
140	193	1179
141	193	1171
142	194	1164
143	194	1157
144	195	1150
145	195	1143
146	195	1136
147	196	1129
148	196	1122
149	197	1116
150	197	1109
151	197	1103
152	198	1096
153	198	1090
154	198	1083
155	199	1077
156	199	1070
157	199	1064
158	200	1058
159	200	1052
160	200	1046
161	201	1041
162	201	1035
163	202	1029
164	202	1024
165	202	1018
166	203	1013
167	203	1007
168	203	1002
169	204	996
170	204	991
171	204	986
172	205	981
173	205	976
174	205	971
175	206	966
176	206	961
177	207	956
178	207	951
179	207	946
180	208	941
181	208	937
182	208	932
183	209	928
184	209	923
185	210	919
186	210	914
187	210	910
188	211	906
189	211	902
190	212	897
191	212	893
192	212	889
193	213	885
194	213	881
195	213	877
196	214	873
197	214	869
198	215	865
199	215	861
200	215	858
201	216	854
202	216	850
203	217	846
204	217	843
205	217	839
206	218	835
207	218	832
208	218	828
209	219	824
210	219	821
211	220	817
212	220	814
213	220	811
214	221	807
215	221	804
216	221	800
217	222	797
218	222	794
219	223	791
220	223	787
221	223	784
222	224	781
223	224	778
224	225	775
225	225	772
226	225	769
227	226	766
228	226	763
229	227	760
230	227	757
231	227	754
232	228	751
233	228	748
234	228	745
235	229	742
236	229	739
237	230	736
238	230	733
239	230	730
240	231	728
241	231	725
242	231	722
243	232	719
244	232	717
245	233	714
246	233	711
247	233	709
248	234	706
249	234	703
250	235	701
251	235	698
252	235	696
253	236	693
254	236	690
255	236	688
256	237	685
257	237	683
258	237	680
259	238	678
260	238	676
261	239	673
262	239	671
263	239	669
264	240	666
265	240	664
266	241	662
267	241	659
268	241	657
269	242	655
270	242	652
271	243	650
272	243	648
273	243	646
274	244	643
275	244	641
276	245	639
277	245	637
278	245	635
279	246	632
280	246	630
281	246	628
282	247	626
283	247	624
284	248	622
285	248	620
286	248	618
287	249	615
288	249	613
289	249	611
290	250	609
291	250	607
292	251	605
293	251	603
294	251	601
295	252	599
296	252	597
297	252	595
298	253	594
299	253	592
300	254	590
301	254	588
302	254	586
303	255	584
304	255	582
305	256	580
306	256	579
307	256	577
308	257	575
309	257	573
310	258	571
311	258	569
312	258	568
313	259	566
314	259	564
315	259	562
316	260	560
317	260	559
318	261	557
319	261	555
320	261	553
321	262	552
322	262	550
323	262	548
324	263	546
325	263	545
326	264	543
327	264	541
328	264	540
329	265	538
330	265	536
331	265	535
332	266	533
333	266	531
334	267	530
335	267	528
336	267	527
337	268	525
338	268	524
339	269	522
340	269	520
341	269	519
342	270	517
343	270	516
344	271	514
345	271	513
346	271	511
347	272	510
348	272	508
349	273	507
350	273	505
351	273	504
352	274	502
353	274	501
354	274	499
355	275	498
356	275	496
357	276	495
358	276	493
359	276	492
360	277	490
361	277	489
362	278	487
363	278	486
364	278	484
365	279	483
366	279	482
367	279	480
368	280	479
369	280	478
370	281	476
371	281	475
372	281	473
373	282	472
374	282	471
375	283	469
376	283	468
377	283	466
378	284	465
379	284	464
380	284	462
381	285	461
382	285	460
383	286	458
384	286	457
385	286	456
386	287	454
387	287	453
388	287	452
389	288	451
390	288	449
391	289	448
392	289	447
393	289	445
394	290	444
395	290	443
396	291	442
397	291	440
398	291	439
399	292	438
400	292	437
401	293	435
402	293	434
403	293	433
404	294	432
405	294	430
406	294	429
407	295	428
408	295	427
409	296	426
410	296	424
411	296	423
412	297	422
413	297	421
414	298	420
415	298	418
416	298	417
417	299	416
418	299	415
419	299	414
420	300	413
421	300	411
422	301	410
423	301	409
424	301	408
425	302	407
426	302	406
427	302	404
428	303	403
429	303	402
430	304	401
431	304	400
432	304	399
433	305	397
434	305	396
435	305	395
436	306	394
437	306	393
438	307	392
439	307	391
440	307	390
441	308	389
442	308	387
443	308	386
444	309	385
445	309	384
446	310	383
447	310	382
448	310	381
449	311	380
450	311	379
451	311	378
452	312	377
453	312	376
454	313	374
455	313	373
456	313	372
457	314	371
458	314	370
459	315	369
460	315	368
461	315	367
462	316	366
463	316	365
464	316	364
465	317	363
466	317	362
467	318	361
468	318	360
469	318	359
470	319	358
471	319	357
472	320	356
473	320	355
474	320	354
475	321	353
476	321	352
477	321	351
478	322	350
479	322	349
480	323	348
481	323	347
482	323	346
483	324	345
484	324	344
485	325	343
486	325	342
487	325	341
488	326	340
489	326	339
490	326	338
491	327	337
492	327	336
493	327	335
494	328	334
495	328	334
496	329	333
497	329	332
498	329	331
499	330	330
500	330	329
501	331	328
502	331	327
503	331	326
504	332	325
505	332	324
506	332	323
507	333	322
508	333	321
509	334	321
510	334	320
511	334	319
512	335	318
513	335	317
514	336	316
515	336	315
516	336	314
517	337	313
518	337	312
519	338	312
520	338	311
521	338	310
522	339	309
523	339	308
524	339	307
525	340	306
526	340	305
527	341	304
528	341	303
529	341	303
530	342	302
531	342	301
532	342	300
533	343	299
534	343	298
535	344	297
536	344	296
537	344	296
538	345	295
539	345	294
540	345	293
541	346	292
542	346	291
543	346	290
544	347	289
545	347	289
546	348	288
547	348	287
548	348	286
549	349	285
550	349	284
551	349	283
552	350	283
553	350	282
554	350	281
555	351	280
556	351	279
557	352	278
558	352	277
559	352	277
560	353	276
561	353	275
562	353	274
563	354	273
564	354	273
565	354	272
566	355	271
567	355	270
568	356	269
569	356	268
570	356	268
571	357	267
572	357	266
573	357	265
574	358	264
575	358	263
576	358	263
577	359	262
578	359	261
579	360	260
580	360	259
581	360	259
582	361	258
583	361	257
584	361	256
585	362	255
586	362	255
587	363	254
588	363	253
589	363	252
590	364	252
591	364	251
592	364	250
593	365	249
594	365	248
595	366	248
596	366	247
597	366	246
598	367	245
599	367	245
600	368	244
601	368	243
602	368	242
603	369	242
604	369	241
605	369	240
606	370	239
607	370	238
608	371	238
609	371	237
610	371	236
611	372	235
612	372	235
613	372	234
614	373	233
615	373	232
616	374	232
617	374	231
618	374	230
619	375	229
620	375	229
621	375	228
622	376	227
623	376	226
624	376	226
625	377	225
626	377	224
627	377	223
628	378	223
629	378	222
630	379	221
631	379	220
632	379	220
633	380	219
634	380	218
635	381	218
636	381	217
637	381	216
638	382	215
639	382	215
640	383	214
641	383	213
642	383	213
643	384	212
644	384	211
645	384	210
646	385	210
647	385	209
648	386	208
649	386	208
650	386	207
651	387	206
652	387	205
653	387	205
654	388	204
655	388	203
656	389	203
657	389	202
658	389	201
659	390	201
660	390	200
661	390	199
662	391	198
663	391	198
664	392	197
665	392	196
666	392	196
667	393	195
668	393	194
669	393	193
670	394	193
671	394	192
672	394	191
673	395	191
674	395	190
675	396	190
676	397	189
677	397	188
678	398	188
679	398	187
680	399	186
681	399	186
682	399	185
683	400	184
684	400	184
685	401	183
686	401	183
687	402	182
688	402	181
689	403	181
690	403	180
691	403	179
692	404	179
693	404	178
694	405	177
695	405	177
696	405	176
697	406	175
698	406	175
699	407	174
700	407	173
701	407	173
702	408	172
703	408	171
704	408	171
705	409	170
706	409	169
707	410	169
708	410	168
709	410	167
710	411	167
711	411	166
712	411	165
713	412	165
714	412	164
715	413	163
716	413	163
717	413	162
718	414	161
719	414	161
720	414	160
721	415	159
722	415	159
723	416	158
724	416	158
725	416	157
726	417	156
727	417	156
728	418	155
729	418	154
730	418	154
731	419	153
732	419	152
733	420	152
734	420	151
735	420	150
736	421	150
737	421	149
738	422	149
739	422	148
740	422	147
741	423	147
742	423	146
743	423	145
744	424	145
745	424	144
746	425	144
747	425	143
748	426	142
749	426	142
750	426	141
751	427	140
752	427	140
753	427	139
754	428	138
755	428	138
756	428	137
757	429	137
758	429	136
759	430	135
760	430	135
761	430	134
762	431	133
763	431	133
764	432	132
765	432	132
766	432	131
767	433	130
768	433	130
769	434	129
770	434	129
771	435	128
772	435	127
773	435	127
774	436	126
775	436	126
776	436	125
777	437	124
778	437	124
779	438	123
780	438	122
781	438	122
782	439	121
783	439	121
784	440	120
785	440	119
786	440	119
787	441	118
788	441	118
789	442	117
790	442	116
791	442	116
792	443	115
793	443	115
794	443	114
795	444	113
796	444	113
797	445	112
798	445	112
799	445	111
800	446	110
801	446	110
802	446	109
803	447	109
804	447	108
805	448	107
806	448	107
807	448	106
808	449	106
809	449	105
810	450	104
811	450	104
812	450	103
813	451	103
814	451	102
815	452	101
816	452	101
817	452	100
818	453	100
819	453	99
820	454	99
821	454	98
822	454	97
823	455	97
824	455	96
825	456	96
826	456	95
827	456	94
828	457	94
829	457	93
830	457	93
831	458	92
832	458	91
833	459	91
834	459	90
835	459	90
836	460	89
837	460	89
838	461	88
839	461	87
840	461	87
841	462	86
842	462	86
843	463	85
844	463	85
845	463	84
846	464	83
847	464	83
848	465	82
849	465	82
850	465	81
851	466	80
852	466	80
853	466	79
854	467	79
855	467	78
856	468	78
857	468	77
858	468	76
859	469	76
860	469	75
861	470	75
862	470	74
863	471	74
864	471	73
865	471	73
866	472	72
867	472	71
868	472	71
869	473	70
870	473	70
871	474	69
872	474	69
873	474	68
874	475	67
875	475	67
876	475	66
877	476	66
878	476	65
879	476	65
880	477	64
881	477	63
882	478	63
883	478	62
884	478	62
885	479	61
886	479	61
887	480	60
888	480	60
889	480	59
890	481	58
891	481	58
892	482	57
893	482	57
894	482	56
895	483	56
896	483	55
897	484	54
898	484	54
899	484	53
900	485	53
901	485	52
902	486	52
903	486	51
904	486	51
905	487	50
906	487	49
907	487	49
908	488	48
909	488	48
910	489	47
911	489	47
912	489	46
913	490	46
914	490	45
915	491	45
916	491	44
917	491	43
918	492	43
919	492	42
920	493	42
921	493	41
922	493	41
923	494	40
924	494	40
925	495	39
926	495	39
927	495	38
928	496	37
929	496	37
930	497	36
931	497	36
932	497	35
933	498	35
934	498	34
935	499	34
936	499	33
937	499	33
938	500	32
939	500	31
940	500	31
941	501	30
942	501	30
943	502	29
944	502	29
945	502	28
946	503	28
947	503	27
948	504	27
949	504	26
950	504	26
951	505	25
952	505	24
953	506	24
954	506	23
955	506	23
956	507	22
957	507	22
958	508	21
959	508	21
960	509	20
961	509	20
962	510	19
963	510	19
964	511	18
965	511	18
966	511	17
967	512	16
968	512	16
969	513	15
970	513	15
971	514	14
972	514	14
973	514	13
974	515	13
975	515	12
976	516	12
977	516	11
978	517	11
979	517	10
980	518	10
981	518	9
982	518	8
983	519	8
984	519	7
985	520	7
986	520	6
987	521	6
988	521	5
989	521	5
990	522	4
991	522	4
992	523	3
993	523	3
994	523	2
995	524	2
996	524	1
997	525	1
998	525	0
999	525	0
